student_id,name,email,semester,course,offer_code
2024000079,Diego Salazar,diegosalazar@student.university.edu,2024-2025 Second Semester,BS Computer Science,11000
2024000080,Carlos Rivera,carlosrivera@student.university.edu,2024-2025 Second Semester,BS Information Technology,11000
2024000081,Antonio Cruz,antoniocruz@student.university.edu,2024-2025 Second Semester,BS Entertainment and Multimedia Computing,11000
2024000082,Teresa Bautista,teresabautista@student.university.edu,2024-2025 Second Semester,BS Computer Science,11000
2024000083,Carmen Gonzales,carmengonzales@student.university.edu,2024-2025 Second Semester,BS Information Technology,11000
2024000084,Andres Torres,andrestorres@student.university.edu,2024-2025 Second Semester,BS Entertainment and Multimedia Computing,11000
2024000085,Rosa Bautista,rosabautista@student.university.edu,2024-2025 Second Semester,BS Computer Science,11000
2024000086,Juan Cruz,juancruz@student.university.edu,2024-2025 Second Semester,BS Information Technology,11000
2024000087,Carlos Salazar,carlossalazar@student.university.edu,2024-2025 Second Semester,BS Entertainment and Multimedia Computing,11000
2024000088,Miguel Castillo,miguelcastillo@student.university.edu,2024-2025 Second Semester,BS Computer Science,11000
2024000089,Luz Gonzales,luzgonzales@student.university.edu,2024-2025 Second Semester,BS Information Technology,11000
2024000090,Sofia Domingo,sofiadomingo@student.university.edu,2024-2025 Second Semester,BS Entertainment and Multimedia Computing,11000
2024000091,Elena Flores,elenaflores@student.university.edu,2024-2025 Second Semester,BS Computer Science,11001
2024000092,Isabel Aquino,isabelaquino@student.university.edu,2024-2025 Second Semester,BS Information Technology,11001
2024000093,Patricia Reyes,patriciareyes@student.university.edu,2024-2025 Second Semester,BS Entertainment and Multimedia Computing,11001
2024000094,Monica Santos,monicasantos@student.university.edu,2024-2025 Second Semester,BS Computer Science,11001
2024000095,Adriana Morales,adrianamorales@student.university.edu,2024-2025 Second Semester,BS Information Technology,11001
2024000096,Valeria Jimenez,valeriajimenez@student.university.edu,2024-2025 Second Semester,BS Entertainment and Multimedia Computing,11001
2024000097,Daniela Herrera,danielaherrera@student.university.edu,2024-2025 Second Semester,BS Computer Science,11001
2024000098,Mariana Vargas,marianavargas@student.university.edu,2024-2025 Second Semester,BS Information Technology,11001
